id,name
4047907,Jesus House
3274858,Alchemy Venture Partners Limited
3738566,The Coalfields Regeneration Trust
3884200,Stafford Bridge Doors Limited
2851746,High Fashion (UK) Limited
4041459,Beyondautism
5088708,Bowater Building Products Limited
820660,Child Action Northwest
4146446,Veolia Water Operational Services (Moray) Limited
5094550,Smooth Radio Ne Limited
4618437,GW 1244 Limited
4697898,Rotherham Healthcare Holdings Limited
5083580,LDC (Project 110) Limited
2502307,3663 Developments Limited
209897,V.Ships PLC
725654,Porthvan Enterprises Limited
892796,Biochemical Society(The)
1223500,Baader (U.K.) Limited
3431271,Nameco (No. 28) Limited
2545535,After Adoption
3186665,Data Capture Solutions Limited
3071752,99 Bishopsgate Management Limited
3603432,The Born Free Foundation
4762048,Carebase (Guildford) Limited
4952854,Devonshire Metro Limited
4474897,The KGJ Insurance Services Group Limited
2723136,Chandos Services Ltd
2890957,Science Warehouse Limited
2626618,Graduate Prospects Ltd
3664116,Chick Master Holdings Limited
4336164,Global Diagnostics Limited
3817056,Bournemouth Young Men's Christian Association
4515082,Burren & Whitaker Construction Limited
3841605,Sackville-West Underwriting Limited
4330595,Infinity Technology Solutions Limited
5205362,Tapesilver Limited
5335357,Diagnostica Stago UK Ltd
1415654,Mary Rose Trust(The)
1761018,Carefusion U.K. 232 Limited
1971231,Goddard Veterinary Group
3599380,H2O Nationwide Limited
3022070,Reliv Europe Limited
3139918,Galaxy Radio North East Limited
3105866,18 Marylebone Mews Limited
6137102,Lissett Airfield Wind Farm Limited
5538901,Sports Aid Trust
886425,Barnardo Trading Limited
1175461,Air Products Llanwern Limited
3570476,Yorktest Laboratories Limited
893985,Vinehall School Limited
1792924,Winscribe Europe Limited
4828083,Liberty Point (Manchester) Limited
332450,Laindon Holdings Limited
2014401,Birling Group Limited
2130602,Autonumis Limited
2320539,XP Solutions Software Limited
4084653,Bradford Trident Limited
1081032,Stowlin Limited
4188486,Pritchmor Holdings Limited
5128326,Rocksolid Granit (Europe) Limited
1134697,Castle Court School Educational Trust Limited
1966061,Bluebell Railway PLC
1738825,Ticketgrange Limited
1676736,Roots Systems Limited
4152504,Dspace Limited
2813424,Pravin A Pattni Limited
5829739,BT LGS Limited
622773,Harlow and District Sports Trust
129033,Welsh Glass Works Limited
193627,Fontwell Park Steeplechase Limited (The)
2808633,Willowbrook Hospice
1176727,Compre Services (UK) Limited
2221664,Saa Consultants Limited
5227778,Countryside Alliance
1090477,Mason Pearson Bros. Limited
1918777,Aptean Systems (UK) Limited
3495816,Nic Components Europe Limited
3836097,CQC Limited
69662,"Hexham Auction Mart Company,Limited"
4512819,Easy Lease LTD.
4897210,Clarity Capital Partners Limited
6181300,Richard Read Holdings Limited
3183733,Premiere Health Limited
2599713,Speed Communications Agency Limited
4457635,Hatzfeld Care Limited
982544,Amref Health Africa
3422709,First Advantage Europe Ltd
3589574,P.H. Insulations Limited
4007266,Total Risk Solutions (London) Limited
5772982,Willowbeck Health Care Limited
4571001,Terumo UK Limited
4987981,Amec Foster Wheeler Earth and Environmental (UK) Limited
907923,The Talking Trust
1795334,VP Packaging Limited
1966747,R.A.H.M.S. Limited
2303985,Joinpoint Limited
3918217,Packaging Logistics Services Limited
4281417,Centre For Medicines Research International Limited
4344486,The Chaseley Trust
5687452,Vistra (UK) Limited
1095234,Rotrex Group Limited
2721562,Grainrent Limited
5895304,Psp Group Ltd
2745971,Citagrep Limited
2385287,Dynamic Europe Limited
4253229,Bronx Engineering Limited
4693653,Family Mosaic Housing Development Company Limited
1813992,Business Computer Projects Limited
6019106,Alpha Plus Fostering Limited
2236017,TBG Learning Ltd
906595,Macsalvors (Plant Hire) Limited
1912226,Anderson Business Travel Limited
3190519,Bioscientifica Limited
3562600,E & P Catering Butchers Limited
3492774,Air Filters Limited
4767494,Regal Healthcare Properties Limited
571548,Journeys Friend Limited
4947316,Ciel (Concessions) Limited
5071730,Brixton (Origin) Limited
2497984,Kingston Theatre Trust
6169724,Uropa Securities PLC
45894,Bruntons Aero Products Limited
1163351,B.A.F.T.A. Management Limited
1679056,AWS Turner Fain Limited
2710424,Gudel Lineartec (U.K.) Limited
2685788,Kenwick Park Hotel Limited
